solar,1239,1737477348,1737462948,21/01/2025 12:35:48
solar,1133,1737477353,1737462953,21/01/2025 12:35:53
solar,1254,1737477358,1737462958,21/01/2025 12:35:58
solar,1184,1737477364,1737462964,21/01/2025 12:36:04
solar,1108,1737477369,1737462969,21/01/2025 12:36:09
solar,1122,1737477374,1737462974,21/01/2025 12:36:14
solar,979,1737477380,1737462980,21/01/2025 12:36:20
solar,1190,1737477385,1737462985,21/01/2025 12:36:25
solar,1591,1737477590,1737463190,21/01/2025 12:39:50
solar,1152,1737477602,1737463202,21/01/2025 12:40:02
solar,1164,1737477607,1737463207,21/01/2025 12:40:07
solar,1161,1737477612,1737463212,21/01/2025 12:40:12
solar,1241,1737477618,1737463218,21/01/2025 12:40:18
solar,1205,1737477623,1737463223,21/01/2025 12:40:23
solar,1706,1737477628,1737463228,21/01/2025 12:40:28
solar,1779,1737477634,1737463234,21/01/2025 12:40:34
solar,1897,1737477639,1737463239,21/01/2025 12:40:39
solar,1841,1737477645,1737463245,21/01/2025 12:40:45
solar,1798,1737477650,1737463250,21/01/2025 12:40:50
solar,1728,1737477655,1737463255,21/01/2025 12:40:55
solar,1622,1737477661,1737463261,21/01/2025 12:41:01
solar,1606,1737477666,1737463266,21/01/2025 12:41:06
solar,1525,1737477672,1737463272,21/01/2025 12:41:12
solar,1508,1737477677,1737463277,21/01/2025 12:41:17
solar,1503,1737477682,1737463282,21/01/2025 12:41:22
solar,1491,1737477688,1737463288,21/01/2025 12:41:28
solar,1491,1737477693,1737463293,21/01/2025 12:41:33
solar,1512,1737477699,1737463299,21/01/2025 12:41:39
solar,1541,1737477704,1737463304,21/01/2025 12:41:44
solar,1586,1737477709,1737463309,21/01/2025 12:41:49
solar,1634,1737477715,1737463315,21/01/2025 12:41:55
solar,1684,1737477720,1737463320,21/01/2025 12:42:00
solar,1741,1737477726,1737463326,21/01/2025 12:42:06
solar,1795,1737477731,1737463331,21/01/2025 12:42:11
solar,1823,1737477736,1737463336,21/01/2025 12:42:16
solar,1785,1737477742,1737463342,21/01/2025 12:42:22
